Chapter,Error_Original,Error_Modified
028.txt,"[coherence] Gandalf claims he has returned and that Shadowfax has come back 'riderless', but in the previous chapter (28), Gandalf explicitly lent Shadowfax to Aragorn and the others to ride to Edoras. Shadowfax is currently being ridden by Gandalf, so it is not riderless, and Gandalf is present with the horse.","[coherence] Gandalf claims he has returned and brings back Shadowfax, but earlier in the chapter (and in the previous chapter's summary), it is established that Shadowfax was stolen by an old man (Saruman) and the companions were left stranded on foot. Gandalf summons Shadowfax to them here, implying he has the horse, but he does not explain how he retrieved it from Saruman's possession, creating a continuity gap with the immediate preceding events."
029.txt,,"[coherence] A character is referred to by a name that contradicts their established identity and the context of the scene. The scout addresses the King as 'Ceorl' (a commoner), but Théoden is the King of Rohan, and the text immediately confirms his identity as King."
030.txt,,"[coherence] Gandalf states that the river Isen is dry because Saruman has 'devoured the springs', yet later in the same chapter, the river suddenly flows again after the Ents' attack, and Gandalf does not explain this restoration or contradict his earlier claim about the cause of the dryness."
031.txt,"[temporal] Pippin states that the current date is the fifth of March in the Shire-reckoning, but then calculates that it has been 'Only nine days ago' since they were caught by Orcs. However, the narrative explicitly states that 'three very horrible days followed' their capture, and the subsequent events (escape, meeting Treebeard, Entmoot, march on Isengard, flooding) take place over several more days. The timeline of events described (capture -> 3 days of captivity -> escape -> meeting Treebeard -> Entmoot lasting two days -> march -> battle -> flooding -> Gandalf's arrival) clearly exceeds nine days from the point of capture to the current moment.","[coherence] Pippin claims that Treebeard 'hid himself in the shadows under the arch' when Gandalf arrived, but earlier in the same narrative, it is established that Treebeard was sitting on Pippin's shoulders. It is physically impossible for Treebeard to be both sitting on Pippin and hiding under the arch simultaneously."
032.txt,,"[coherence] Saruman is described as standing at the rail of the balcony, but immediately after he leaves, he is described as crawling away from the rail, implying he was physically located at the railing while simultaneously having left it. The text states he 'turned and left the balcony' and then 'came slowly back to the iron rail', but the subsequent action of him 'crawling away' suggests he was still at the rail or the spatial description is contradictory regarding his position relative to the door and the rail."
033.txt,"[coherence] Pippin attempts to swap the Palantír with a stone to avoid detection, but the text states he laid the wrapped stone back by the wizard's hand. However, Gandalf later claims he was 'weary' and 'sleep overcame me' because he was 'pondering it' (the stone). If Pippin had successfully swapped the stone for the Palantír, Gandalf would have been sleeping next to a wrapped rock, not the Palantír, making his realization and subsequent explanation logically inconsistent with the swap's success. The narrative implies the swap failed or was irrelevant to Gandalf's state, but the text presents the swap as a completed action that should have altered the physical reality Gandalf interacts with.","[coherence] Pippin is described as lying on his back with 'unseeing eyes staring up at the sky' while Gandalf is kneeling beside him and listening for his breath. If Pippin's eyes were truly unseeing and staring up, Gandalf would not be able to look into his eyes to check for lies or lay his hand on his brow in the manner described immediately after."
034.txt,"[coherence] Sam claims he forgot about the rope he carried, but earlier in the same chapter, he explicitly mentions lugging his cooking-gear from the last camp and implies the rope was part of his pack contents, yet the narrative treats the rope's presence as a sudden discovery rather than a known item he had been carrying. More critically, Sam says 'I'd clean forgotten it!' immediately after Frodo asks if he has rope in his pocket, but Sam had just admitted to carrying his cooking gear and the rope was in his pack. The inconsistency lies in Sam's claim of forgetting a specific item he had just been rummaging through to find, which contradicts the immediate context of him knowing exactly where it was in his pack.","[coherence] Sam claims to have forgotten the rope until Frodo asks for it, but earlier in the same chapter, Sam explicitly mentions carrying his cooking-gear and implies he has been carrying his pack contents (including the rope) for miles, yet the specific detail of the rope is introduced as a sudden discovery rather than a known item he had been carrying. More critically, the text states Sam 'stowed a coil in my pack' and 'carried it hundreds of miles', but then says he 'clean forgotten it'. While possible, the narrative flow suggests he knew it was there when he rummaged for it, making the 'forgotten' claim slightly contradictory to his immediate retrieval. However, a stronger error is present: Frodo says 'I left the Company in such a hurry and confusion. If only we had enough we could use it to get down.' This implies they didn't have enough rope. But later, Sam measures the rope as 'Thirty ells' and Frodo says 'I believe it would be enough.' The contradiction lies in the rope's behavior: Sam ties it to a stump, they climb down, and then the rope 'came loose' when Sam pulled it. Sam insists he tied a 'fast hitch' and the rope didn't break. Frodo suggests it broke or the knot failed. Sam then says 'I think the rope came off itself - when I called.' This is a coherence error in the physical logic of the scene; a knot does not untie itself upon a verbal command. The text presents this as a magical or inexplicable event without explanation, contradicting the established physical reality of the rope's strength and Sam's knot-tying skills."
035.txt,"[temporal] The text states that Sam slept for 'nine hours at least' and woke up to find the sky 'dim, not lighter but darker than when they had breakfasted.' However, the narrative immediately follows with 'So passed the third day of their journey with Gollum,' implying that the events of the day (traveling through the marshes, encountering the lights) occurred after this wake-up. If Sam slept through the daylight and woke in the dark, the subsequent travel and the 'third day' marker are temporally confused or contradictory regarding the sequence of day/night cycles described.","[temporal] The text states that Sam slept for 'nine hours at least' and woke up to find the sky 'dim, not lighter but darker than when they had breakfasted.' However, the narrative immediately follows with 'The next stage of their journey was much the same as the last... That night drew to its end... So passed the third day of their journey with Gollum.' This implies that the 'breakfast' mentioned earlier was actually the previous night's meal, or that the timeline of 'breakfast' to 'dawn' to 'third day' is contradictory. Specifically, if they rested at dawn (grey of morning), slept for 9 hours, they would wake in the late morning/early afternoon, not at a time described as 'dim, not lighter but darker' (which implies night/dusk) unless the 'breakfast' was the previous evening's meal, which contradicts the term 'breakfast'. More clearly, the text says 'When he woke up the sky above was dim... Sam... understood that he had slept the daylight away, nine hours at least.' If he slept the 'daylight away', he woke at night. But then the text says 'That night drew to its end... So passed the third day'. This creates a confusion about whether the sleep happened during the day or night, and the reference to 'breakfast' is temporally misplaced if it refers to the meal before the 9-hour sleep which ended at night."
036.txt,"[coherence] Gollum claims he escaped from Mordor on his own, but Frodo explicitly references Aragorn's finding of him by the Dead Marshes, implying Gollum was released or permitted to leave by Sauron. Gollum's denial ('It's a lie!') contradicts the established fact that Aragorn found him there, and his claim of a solo escape is logically inconsistent with the narrative context of him being a captive who was let out to hunt the Ring.","[cross_chapter] The chapter states that Frodo and Sam have been in Mordor for 'Another dreadful day of fear and toil' and that 'Day came', implying they have been there for at least one full day/night cycle. However, the previous chapter summary (Chapter 36) describes them navigating the Dead Marshes and being terrified by a Nazgûl, which occurs *before* they reach the Gates of Mordor. The text implies a continuous journey, but the transition from the Dead Marshes (west of Mordor) to the Gates (east) is abrupt, and the timeline of 'days' is inconsistent with the immediate arrival described in the opening sentence ('Before the next day dawned their journey... was over'). More critically, the text says 'Another dreadful day... had come to Mordor', suggesting they have been there for multiple days, yet the narrative flow from the previous chapter suggests they just arrived. The specific error is the phrase 'Another dreadful day', which implies a duration of stay that contradicts the immediate arrival context established by 'Before the next day dawned their journey... was over' if interpreted as the *start* of their presence. However, a clearer error is the mention of 'Aragorn... who found you by the Dead Marshes some years ago.' In the previous chapters, Aragorn found Gollum at the Dead Marshes *recently* (during the Fellowship's journey), not 'some years ago'. Gollum was captured by Aragorn in Chapter 12/13 timeframe, which is only a few months prior to the current events, not years."
037.txt,"[cross_chapter] The chapter states that the Company left two companions at Parth Galen above Rauros, but previous chapters establish that Merry and Pippin were captured by Orcs and taken to Isengard, while Aragorn, Legolas, and Gimli pursued them. Only Frodo and Sam remained with him.","[cross_chapter] The chapter states that the hobbits left two companions at Parth Galen above Rauros, but previous chapters (specifically Chapter 24) establish that Aragorn, Legolas, and Gimli were also at Parth Galen and departed to pursue the Orcs, meaning three companions were left behind, not two."
038.txt,"[cross_chapter] Faramir states that he first saw Gandalf when he was a child and that Gandalf visited Gondor 'twice or thrice' since then. This contradicts the established lore and previous chapters where Gandalf is a wandering figure who rarely visits cities like Minas Tirith, and specifically, the timeline of Gandalf's interactions with the Stewards does not support frequent visits during Faramir's childhood in the manner described, nor does it align with the general isolation of Gondor from the outside world during that period.","[cross_chapter] In the previous chapter summary (Chapter 38), it is stated that Faramir 'spared them and leaving guards before departing.' However, in this chapter, Faramir is present with his men, interrogating Frodo and Sam, and subsequently taking them to Henneth Annûn. This contradicts the summary of the previous chapter which implies Faramir had already left the scene."
039.txt,"[cross_chapter] In the previous chapter (Chapter 39), Faramir escorts Frodo and Sam to Henneth Annûn while maintaining their blindness to the location. In this chapter, Frodo and Sam are already inside the refuge and are led out by Faramir, implying they were not blindfolded or that the transition from the previous chapter's ending (where they are being escorted) to this chapter's start (where they are already inside and waking up) is skipped without establishing how they arrived or if the blindfolds were removed. More critically, the text implies they have been there for some time ('woke to find Faramir'), but Chapter 39 ends with them being taken there. While not a hard contradiction, the narrative flow suggests a gap. However, a clearer error is present: Faramir says 'I sent my keenest huntsmen to seek him [Gollum], but he slipped them, and they had no sight of him till now, save Anborn here, once at dusk yesterevening.' In Chapter 39, Gollum was with Frodo and Sam when they were captured. He was not 'slipping' away from huntsmen independently in a way that suggests he was free and hunting for fish while they were blindfolded, unless he escaped during the transport. The text does not explain how Gollum escaped the guards who were watching Frodo and Sam in Chapter 39, or if he was captured separately. The narrative implies Gollum was with them ('your gangrel companion'), but then treats him as a separate entity who has been evading capture. The most significant error is the lack of explanation for Gollum's status: Was he captured in Ch 39? If so, how is he free in the pool? If not, why wasn't he mentioned as captured? The text says 'I sent my keenest huntsmen to seek him... he slipped them'. This implies Gollum was not in custody. But in Ch 39, the Rangers were watching Frodo and Sam. It is unclear if Gollum was also watched. If he was, he escaped. If he wasn't, why? This is a coherence/causality gap regarding the custody of Gollum between chapters.","[cross_chapter] In the previous chapter (Chapter 39), Faramir leaves the hobbits at Henneth Annûn after their initial interrogation and decision to trust them. In this chapter, Frodo and Sam are already inside the refuge, having been brought there by Faramir, but the narrative implies they were just captured or brought in moments before, creating a continuity gap regarding how they remained in the cave while Faramir was away and how they were roused. More specifically, the text says 'Faramir heard and answered... you were not brought, and do but pay the penalty of your watchfulness,' implying Sam followed them out, but the transition from the previous chapter's end (Faramir leaving) to this chapter's start (Frodo waking to Faramir) is abrupt and lacks the bridging event of Faramir returning or the hobbits being settled in the cave for the night."
040.txt,"[cross_chapter] In the previous chapter (Chapter 40), Faramir explicitly warns Frodo against taking the path through Cirith Ungol, advising him to go straight on. In this chapter, Gollum leads them towards the Cross-roads and the road to Osgiliath, which is the route Faramir advised against, and Gollum claims they 'shouldn't have taken Men's advice' to avoid the path that leads to the ruined city/Morgul valley area, implying they are deviating from Faramir's specific counsel to go straight on to avoid the dangerous eastern paths. However, the text says Gollum says 'We shouldn't have taken Men's advice' regarding the road from the Tower of the Moon, but earlier Faramir told them to go straight on. The contradiction lies in Gollum's statement 'We shouldn't have taken Men's advice' immediately after they followed Faramir's advice to go straight on, yet they are now near the ruins of Minas Morgul (Tower of the Moon) which is eastward, contradicting the instruction to go straight on (west/south-west) to avoid the 'Nameless Land' and 'Morgul' paths. Actually, looking closer: Faramir said 'If you take my counsel, you will not turn eastward yet. Go straight on'. Gollum later says 'We shouldn't have taken Men's advice' when looking at the road from the Tower of the Moon. This implies they *did* take the advice (went straight on) but ended up near the Tower? No, the Tower of the Moon is Minas Morgul, which is east. If they went straight on from Henneth Annun, they should be further west/south. The text says 'This is the road from the Tower of the Moon... down to the ruined city'. Gollum says 'We shouldn't have taken Men's advice'. This is a coherence error in Gollum's dialogue or the narrative logic of their location relative to Faramir's advice. Faramir advised going straight on to avoid the east. If they are now near the Tower of the Moon (East), they must have turned east, contradicting Faramir's advice or Gollum's statement that they shouldn't have taken it (implying they did take it and are now in trouble, or they didn't take it and are in trouble). The text is ambiguous but likely implies they followed the advice to go straight on, but Gollum is confused or lying. However, a clearer error is the direction. Faramir said 'Go straight on... On your west is an edge... Keep near to this edge'. This path leads south-west. The Tower of the Moon is East. If they are at the Tower, they turned East. Gollum says 'We shouldn't have taken Men's advice'. This implies they *did* take the advice. This is a contradiction. If they took the advice, they should be West. If they are East, they didn't take the advice. Gollum's statement 'We shouldn't have taken Men's advice' suggests they did take it, but their location suggests they didn't.",
041.txt,"[cross_chapter] The chapter states that the army of Minas Morgul is marching to Osgiliath and that 'no host so fell and strong in arms had yet assailed the fords of Anduin'. However, in Chapter 38, Faramir explicitly states that he is at Henneth Annûn because he is 'watching the fords of the Anduin' and expects an attack there. This creates a contradiction regarding the location and status of the enemy forces; if the main host is already at Osgiliath, the fords should be under attack or already breached, not merely being watched from a distance.","[cross_chapter] The chapter states that Gollum 'refused their food' during the rest stop, but in the previous chapter (Chapter 40), Gollum was captured by Faramir's Rangers and explicitly fed by them before being brought to Frodo. While he may have refused the hobbits' specific rations, the text implies a total refusal of sustenance which contradicts his recent state of being fed and cared for by the Rangers, or at least lacks the nuance that he had just eaten. More critically, the narrative flow suggests he has been fasting since the capture, which is factually incorrect based on the previous chapter's events where he was fed by Faramir."
042.txt,"[coherence] Sam is described as having his sword in his hand during the struggle with Gollum, but earlier in the same scene, Gollum is described as bending Sam's hand down until he releases the sword and it falls to the ground. Sam cannot simultaneously hold the sword and have it fall to the ground.","[coherence] The text states that Frodo and Sam were separated in the darkness because the tunnel was so wide they were 'cut off alone', yet immediately describes them walking 'abreast' and touching the side walls, which implies they were side-by-side and not isolated from each other."
043.txt,"[cross_chapter] The chapter summary for Chapter 43 states that Frodo uses the Phial of Galadriel and Sting to drive Shelob back, allowing them to escape the tunnel. However, the current chapter text explicitly describes Sam fighting Shelob alone with Sting and the Phial, while Frodo is bound and helpless. This contradicts the established fact that Frodo did not fight Shelob in this encounter.","[cross_chapter] The chapter states that Sam used the elven-blade (Sting) to cut away the binding cords on Frodo. However, in the previous chapter (Chapter 43), Gollum ambushed and captured Sam while Shelob attacked Frodo. Sam was disarmed and captured, meaning he did not have access to Sting to cut the cords; Frodo was bound by Shelob's web, not cut free by Sam."
044.txt,"[coherence] Pippin claims to be nearly twenty-nine years old, which contradicts established lore and previous chapters where he is a young hobbit (approx. 38 in Shire years, but physically/mentally youthful, and explicitly referred to as a 'lad' or 'boy' by Beregond and himself). In the context of the narrative flow, stating he is 'quite old' and 'as old as my uncle' is a significant character inconsistency.","[cross_chapter] The chapter states that Boromir was slain defending Pippin and Meriadoc (Merry) from orcs. However, according to the previous chapter summary (Chapter 24), it was Merry and Pippin who were captured by Orcs, while Boromir died defending himself and the remaining Fellowship members (Aragorn, Legolas, Gimli) at Parth Galen. The text incorrectly attributes Boromir's death to the defense of the hobbits."
