Chapter,Error_Original,Error_Modified
006.txt,[coherence] The Sorting Hat song mentions 'Those patient Hufflepuffis are true' which appears to be a typo or error for 'Hufflepuffs.' This breaks the meter and rhyme scheme of the song and does not match the proper house name used consistently elsewhere in the chapter.,"[coherence] Professor Quirrell is referred to as 'Quirtell' in one instance, which appears to be a spelling inconsistency with the established name 'Quirrell' used elsewhere in the chapter and previous chapters."
006.txt,,"[cross_chapter] Harry recognizes Dumbledore 'at once from the card he'd gotten out of the Chocolate Frog on the train.' However, in Chapter 5 (per the summary), Harry received the train ticket and owl from Hagrid before they 'parted ways at Paddington station.' The Chocolate Frog card scene with Dumbledore would have occurred on the train to Hogwarts, which hasn't been described in previous chapter summaries, creating a potential gap or inconsistency in the timeline of when Harry obtained and viewed this card."
006.txt,,"[coherence] The text contains 'Harry. smiled weakly' with a period after 'Harry,' which appears to be a punctuation/typographical error disrupting sentence flow."
007.txt,"[coherence] Harry refers to 'sit' instead of 'sir' when answering Snape, which appears to be a typo/printing error that creates incoherent dialogue. This occurs twice in the text.","[coherence] Harry reaches for books and quill on his trunk in the dormitory during Potions class, but he is in the dungeon classroom, not the dormitory. His trunk and supplies should be with him in class or this implies an impossible action."
007.txt,[coherence] The second occurrence of 'sit' instead of 'sir' in Harry's response to Snape.,"[cross_chapter] The newspaper article states the Gringotts break-in was on '31 July' and that the vault 'had in fact been emptied the same day.' However, in Chapter 5, Hagrid retrieved the package from vault 713 on Harry's birthday (July 31st). The article says the vault was emptied 'earlier that same day' (July 31st), but Hagrid and Harry were at Gringotts during the day on July 31st. This creates a contradiction about when the vault was actually emptied relative to the break-in attempt."
007.txt,"[cross_chapter] In Chapter 5, Hagrid explicitly tells Harry that Gringotts was broken into and that 'it's been all over the Daily Prophet.' However, in this chapter, Harry acts surprised and says Ron 'hadn't mentioned the date,' implying Ron only told him someone tried to rob Gringotts but gave no details. This contradicts the earlier direct conversation where Hagrid himself informed Harry of the break-in.","[cross_chapter] Hagrid says 'I spent half me life chasin' yer twin brothers away from the forest,' but earlier in Chapter 5, Hagrid didn't seem to know who Ron was when they first met. Additionally, the twins' names are Fred and George, but Hagrid doesn't use their names here, which is minor but the recognition of Ron as 'another Weasley' with specific knowledge of the twins seems slightly inconsistent with their first meeting."
007.txt,"[coherence] The text contains a duplicated sentence fragment with a typo ('y' at the end), indicating an editing/printing error where text was accidentally repeated.","[coherence] The text contains a clear repetition/duplication of a sentence fragment: 'like Professor McGonagall, Snape had y caught every word — like Professor McGonagall, Snape had' which appears to be a copy-editing error where the text was accidentally repeated with a stray 'y' character."
008.txt,"[coherence] Draco Malfoy's name is misspelled as 'Malfay' twice in the chapter, creating inconsistency in character naming.","[coherence] Misspelling of 'Malfoy' as 'Malfay' appears twice in the chapter, suggesting inconsistent character naming."
008.txt,"[coherence] Professor McGonagall's dialogue is cut off mid-sentence with a quotation mark in the wrong place when she mentions Harry's father, creating a grammatical inconsistency that affects readability.",[coherence] Misspelling of 'Malfoy' as 'Malfay' appears again during the flying confrontation.
008.txt,"[cross_chapter] In Chapter 5, Hagrid collected the mysterious package from vault 713 for Dumbledore, but in this chapter Harry remembers Hagrid saying 'Gringotts was the safest place in the world for something you wanted to hide — except perhaps Hogwarts.' This quote was never actually spoken in any previous chapter shown in the summaries; Harry is recalling a conversation that wasn't depicted in the text provided.",[coherence] Typo 'we 3 re' instead of 'we're' in Ron's dialogue.
008.txt,,"[cross_chapter] In Chapter 7, Percy led the Gryffindor first years to their dormitory, establishing he knows the password. However, in this chapter, Hermione considers telling Percy to stop the midnight excursion, implying he has authority and access, yet Neville is locked out because he forgot the new password, and there's no indication Percy could help—though as a prefect and someone who led them to the tower, he presumably knows it."
008.txt,,[coherence] Typo 'Flitwicles' instead of 'Flitwick's' when referring to Professor Flitwick's classroom.
009.txt,"[coherence] Harry says 'I woulnn't be on the team' with a clear misspelling of 'wouldn't', which is a textual inconsistency in the narrative.","[coherence] Harry receives a Nimbus Two Thousand broomstick, but the letter says 'DO NOT OPEN THE PARCEL AT THE TABLE' because McGonagall doesn't want everyone knowing he has a broomstick. However, the package is delivered by six large screech owls in a very conspicuous manner in the Great Hall during breakfast, immediately drawing everyone's attention. The secrecy instruction is incoherent with the extremely public delivery method."
009.txt,"[coherence] Harry addresses Professor Flitwick as 'sit' instead of 'sir', which appears to be a typo rather than intentional dialect or disrespect, given the context of Harry being polite.","[cross_chapter] In Chapter 9's summary, Hermione reveals the dog is guarding something and connects it to the package from Gringotts vault 713. However, in this chapter, Harry is the one who 'filled Ron in about the package that seemed to have been moved from Gringotts to Hogwarts,' with no mention of Hermione's involvement in this deduction. The previous summary states Hermione made this connection, but this chapter suggests Harry and Ron figured it out independently without Hermione's help."
009.txt,"[coherence] The narrative contains 'Held never been inside the stadium before' which appears to be a typo for 'He'd never been', creating a coherence error where the sentence lacks a proper subject and verb.","[coherence] Professor Flitwick appears in the entrance hall to break up the argument between Harry, Ron, and Malfoy, but then later in the chapter he is teaching Charms class where students are practicing the Wingardium Leviosa spell. There is no indication of significant time passing between these events, yet Flitwick moves from one location to another without explanation. More importantly, the narrative states 'It was very difficult' for Harry and Seamus to levitate the feather, and Ron fails repeatedly, yet Hermione succeeds immediately. However, Flitwick had earlier been described as 'beaming at Harry' about the broomstick special circumstances, suggesting familiarity with Harry's situation, yet there's no acknowledgment of this earlier interaction in the classroom scene."
009.txt,"[coherence] The narrative contains 'fie was carrying' which appears to be a typo for 'He was carrying', creating a subject error in the sentence describing Oliver Wood.","[temporal] The chapter states that 'about a week later' after the broomstick arrived, the Halloween events occur. However, earlier in the chapter, Harry receives the broomstick and has his first Quidditch training session with Oliver Wood that same evening. Then 'Perhaps it was because he was now so busy, what with Quidditch practice three evenings a week on top of all his homework, but Harry could hardly believe it when he realized that he'd already been at Hogwarts two months.' This suggests significant time has passed, yet the Halloween events are described as happening only about a week after the broomstick arrived. If Harry had been at Hogwarts two months by Halloween (which is October 31), then the broomstick arrival would be in late October, but the troll incident and Halloween feast occur almost immediately after, compressing the timeline inconsistently."
010.txt,"[coherence] Hermione's name is misspelled as 'Hermlone' in the text, which is a typographical error that breaks narrative consistency.","[coherence] Hermione's name is misspelled as 'Hermlone' in the text, which is a typographical error that breaks narrative consistency with her established name from previous chapters."
010.txt,"[coherence] The text states Hermione 'tent' Harry the book instead of 'lent,' which is a clear typographical error affecting comprehension.","[coherence] Hermione 'tent' Harry the book instead of 'lent' him the book, which appears to be a typographical error affecting narrative coherence."
010.txt,"[cross_chapter] Harry says 'I'd bet my broomstick' about Snape letting the troll in, but Harry does not yet own a broomstick at this point in the story. He receives the Nimbus Two Thousand later in this same chapter after this conversation takes place.","[cross_chapter] In Chapter 10, Harry and Ron saved Hermione from the troll, which led to their friendship. However, in this chapter, Hermione is described as having 'become a bit more relaxed about breaking rules' since that event. This phrasing is slightly inconsistent with the timeline because their friendship was already established at the end of Chapter 10, and this chapter appears to continue shortly after, yet the narrative presents this character development as a gradual change that has occurred over time rather than being immediate."
010.txt,[coherence] The chapter contains a formatting/typographical error with 'Blasted thing*' containing an asterisk that appears to be a transcription artifact rather than intentional text.,
011.txt,"[coherence] The inscription on the Mirror of Erised is described as being around the top, but when Harry reads it, it appears as a continuous string of words without spaces: 'Erised stra ehru oyt ube cafru oyt on wohsi.' However, when read backwards, this should be 'I show not your face but your heart's desire' — but the actual backwards reading of the given text is 'I show not your face but your heart's desire' only if we insert spaces correctly. The text as presented has 'cafru' which backwards is 'urfac' not 'face' — actually this does work as 'cafru oyt' = 'your face' backwards... wait let me recheck: 'Erised stra ehru oyt ube cafru oyt on wohsi' reversed word by word is 'I show not your face but your heart's desire' — this is actually correct. However, the chapter presents it as a continuous string without indicating it's meant to be read backwards, which Harry figures out on his own. This is not actually an error but clever writing. Let me re-examine... Actually, re-reading: there is a real error — the text says 'cafru' but for 'face' backwards it should be 'ecaf'. Wait: 'your face' = 'ecaf ruoy' backwards. Let me check: 'cafru oyt' — 'cafru' reversed is 'urfac', not 'face'. This appears to be a genuine error in the original text or my reading. Actually re-checking: 'cafru oyt' reversed letter by letter: t-y-o- -u-r-f-a-c... that's 'your fac' — missing the 'e'. Hmm, but this is from the original published text. Let me look more carefully at what's actually in the chapter text provided: 'cafru oyt on wohsi' — reversed: 'i-show no tyo urfac' — wait that's 'i show not your fac'... This seems like it should be 'ecafru' or there's a missing letter. However, this is likely a transcription error in my input or the original text. Let me focus on actual clear errors.","[coherence] The text contains a garbled/mangled word 'NMat' that appears to be a transcription error for 'What', making the sentence nonsensical."
011.txt,"[cross_chapter] In Chapter 11 summary, Hagrid 'accidentally reveals that the dog is named Fluffy and is guarding something for Dumbledore involving Nicolas Flamel.' However, in this chapter, when Harry, Ron and Hermione mention Flamel to Hagrid, Hagrid says 'I've told yeh — drop it. It's nothin' to you what that dog's guardin'.' This contradicts the summary of Chapter 11 which states Hagrid revealed information about Fluffy guarding something for Dumbledore involving Nicolas Flamel. Actually, re-reading the Chapter 11 summary more carefully: Hagrid reveals the dog's name is Fluffy and that it's guarding something for Dumbledore involving Nicolas Flamel. But in this chapter, Hagrid is angry and refuses to tell them anything, saying 'I'm sayin' nothin'.' The Chapter 11 summary says Hagrid 'accidentally revealed' this information, implying he let something slip. But the actual content of this chapter shows Hagrid being very guarded. This is a contradiction between what the summary claims happened and what actually happened — but the summary is from a previous chapter, so this would be a cross-chapter inconsistency if the summary is inaccurate. However, I need to check if the Chapter 11 summary is correct about what happened in Chapter 11 versus what happens in this chapter (Chapter 12). Actually, looking at chapter numbers: this appears to be Chapter 12, and the summary says in Chapter 11 Hagrid revealed information. But in this chapter (12), Hagrid refuses to talk. These are different chapters, so Hagrid could have revealed something in Chapter 11 and now be refusing to say more in Chapter 12. Let me re-read... Actually, the chapter we're analyzing doesn't have a chapter number, but based on content (Christmas, mirror of Erised), this is clearly Chapter 12. The Chapter 11 summary mentions Hagrid revealing the dog's name is Fluffy and that it's guarding something for Dumbledore involving Nicolas Flamel. But in this chapter, when they mention Flamel, Hagrid says 'Listen here — I've told yeh — drop it. It's nothin' to you what that dog's guardin'.' This suggests Hagrid had previously told them something (in Chapter 11), and now is telling them to drop it. The 'I've told yeh' implies he already said something. So this is actually consistent, not contradictory. Hagrid is referring to his previous accidental revelation.","[coherence] The text contains a malformed sentence fragment 'What’s all th is noise.' with a missing opening quotation mark and spacing error ('th is' instead of 'this is'), making it grammatically broken."
011.txt,,"[coherence] The text contains a spacing error 'Step ping' instead of 'Stepping', which is a typographical inconsistency."
012.txt,"[coherence] Harry claims he read Nicolas Flamel's name on the train coming to Hogwarts, but in Chapter 6, the Chocolate Frog card he opened showed Dumbledore, and there is no mention of him reading about Flamel on the card or elsewhere during the train ride. Harry only collected Dumbledore's card and mentioned it briefly. The card he describes now with Flamel mentioned on it is different from what was established.","[cross_chapter] In Chapter 11, Hagrid accidentally revealed that Nicolas Flamel was involved in guarding the secret, and the trio had been searching for information about Flamel since then. However, in this chapter, Hermione expresses disappointment that Harry 'hadn't at least found out who Nicolas Flamel was' during his nighttime wanderings, and they later act surprised when Harry finally discovers Flamel's identity on the Chocolate Frog card. This contradicts the fact that they already knew Flamel's name from Hagrid's slip-up and had been actively researching him in the library for weeks."
012.txt,"[cross_chapter] In Chapter 11, Hagrid accidentally revealed that the dog is named Fluffy and guards something for Dumbledore involving Nicolas Flamel. However, in this chapter, Hermione acts as if this is a new revelation when she connects Flamel to the Sorcerer's Stone and the dog, and Harry also seems to be discovering this connection for the first time. They had already learned about Flamel from Hagrid in the previous chapter.","[coherence] Harry follows Snape into the Forbidden Forest on his broomstick, lands in a beech tree, and overhears the entire conversation between Snape and Quirrell. However, the chapter later shows Ron and Hermione greeting Harry after the match as if he had just returned normally, with no mention of his detour to the forest. The timeline is compressed implausibly—Harry lands in the tree, overhears a lengthy conversation, flies back, returns his broom to the shed, and then encounters Snape again walking to the forest (which he had already entered), all while Ron and Hermione are waiting for him at what appears to be immediately after the match. Additionally, Harry sees Snape 'enter the forest at a run' after having already been in the forest for the conversation, creating a logical impossibility unless Snape left and re-entered, which is not explained."
013.txt,"[cross_chapter] In Chapter 11, Hagrid accidentally revealed the dog's name was Fluffy while talking to Harry, Ron, and Hermione. However, in this chapter, Hagrid is surprised they know about Fluffy and asks 'Beats me how yeh even know abou' Fluffy,' which contradicts his earlier revelation.","[coherence] Ron's hand is bitten by Norbert and swells to twice its size with a green cut, yet he was supposedly helping Hagrid feed Norbert while wearing the invisibility cloak. If Ron was bitten so badly he couldn't hold a quill for a week, it's unclear how he managed to continue helping with Norbert and then use the cloak to return to the common room without Harry and Hermione noticing his injury until he revealed it."
013.txt,"[coherence] Charlie's letter specifies 'the tallest tower at midnight on Saturday' for the dragon pickup, but later Harry and Hermione are described as reaching 'the corridor beneath the tallest tower' and then going up 'the steep spiral staircase up to the top of the tower.' The Astronomy Tower (the tallest tower) would be far from where they encounter McGonagall with Malfoy, and the narrative seems to conflate different tower locations or their path is unclear.","[cross_chapter] In Chapter 12, Harry received the invisibility cloak as an anonymous Christmas gift and used it to explore the castle at night. In this chapter, Ron uses the cloak to return from Hagrid's hut, and Harry and Hermione use it to transport Norbert. However, there's no indication of how Ron got possession of the cloak from Harry, or when Harry lent it to him. Given the cloak's extreme value and Harry's secretive nature about it, this transfer is unexplained."
013.txt,"[coherence] Harry and Hermione use the invisibility cloak to carry Norbert, but at the end they realize they left it on top of the tower. However, they were described as stepping 'underneath it themselves' with the crate, and later 'threw off the cloak' when they reached the top. The cloak was covering them and the crate during transport, so they should have noticed they didn't have it when they descended, not only at the bottom when Filch appears.",
014.txt,"[coherence] McGonagall says 'All three of you will receive detentions' but there are four students present (Harry, Hermione, Neville, and Malfoy). She only addresses three of them for detention despite having just said 'Four students out of bed in one night!' Malfoy is present but not included in her punishment announcement, even though he was caught and is later present for the detention.","[coherence] Neville's stated motivation for telling McGonagall contradicts his established character and the actual events. Neville says he heard Draco saying something about Harry and 'couldn't stand there doing nothing' and wanted Harry to 'have the punishment you deserve.' This is inconsistent with Neville's loyal, well-meaning nature established in previous chapters—he previously tried to warn Harry and Hermione about Malfoy during the midnight duel incident, not get them punished. Furthermore, Neville was locked out of the common room and accompanied them to the duel; he had no opportunity to overhear Draco plotting and then independently find McGonagall. His actual motivation was to warn them, not betray them, making his quoted speech here incoherent with his character and the narrative logic."
014.txt,"[cross_chapter] In Chapter 12, Harry receives the invisibility cloak with a note saying 'Just in case' from an anonymous sender (later revealed to be Dumbledore). In this chapter, Harry wonders 'How could they have been so stupid as to forget the cloak?' and the cloak is left behind at the tower. However, at the very end of this chapter, Harry finds the cloak folded under his sheets with the same note 'Just in case.' This creates a contradiction: if they left the cloak at the tower, how did it get back to his bed? The note being identical to the original gift suggests Dumbledore returned it, but this is never explained and seems implausible given the circumstances.","[cross_chapter] McGonagall states that four students were out of bed, but only three are actually present in her study: Harry, Hermione, and Neville. Malfoy is not present despite also being out of bed and involved in the dragon smuggling incident. While McGonagall mentions catching Malfoy with the 'cock-and-bull story about a dragon,' she does not include him in the punishment scene or count him among the students receiving detention, yet she says 'four students out of bed in one night.' This contradicts the actual composition of the scene and creates confusion about whether Malfoy was punished alongside the others."
014.txt,"[coherence] Hagrid says 'This is the second time in a week. I found one dead last Wednesday.' However, the timeline doesn't align with the school year. If this is 'about a week before the exams were due to start' in Harry's first year, and exams are typically in early June, this would place the unicorn incident in late May. Yet Hagrid mentions finding one 'last Wednesday' as if it's a recent event, but the narrative suggests the forest incidents have been ongoing. More importantly, if unicorns are being killed weekly and this is a serious magical creature protection issue, it's odd that this hasn't been mentioned before or that more security hasn't been implemented. The 'second time in a week' also seems inconsistent with the urgency and pattern implied.","[coherence] The math for house points deduction is inconsistent. McGonagall first says 'fifty points will be taken from Gryffindor,' then clarifies 'Fifty points each.' Harry then calculates 'A hundred and fifty points lost.' However, if four students (Harry, Hermione, Neville, and presumably Malfoy) each lost fifty points, that would be 200 points total. If only three students lost fifty points each, that would be 150 points. The text is unclear whether Malfoy loses points for Slytherin or Gryffindor, and the final 'hundred and fifty points' figure only works for three students at fifty each, contradicting the 'four students out of bed' statement. The arithmetic and distribution of punishments is logically inconsistent."
015.txt,"[cross_chapter] In Chapter 14, Harry, Ron, and Hermione used the invisibility cloak to smuggle Norbert out and left it behind at the top of the tower, where Filch caught them. In Chapter 15, the cloak mysteriously reappeared on Harry's bed with a note. However, in this chapter, Harry says 'It's just lucky I got it back' as if he simply retrieved it normally, with no mention of the mysterious circumstances of its return. The narrative treats the cloak's return as unremarkable despite the previous chapter establishing it as strange and unexplained.","[coherence] Hermione uses 'bluebell flames' to repel Devil's Snare, but this spell was never established as a standard spell she knew. More importantly, the text says 'the same bluebell flames she had used on Snape,' but in Chapter 11, Hermione set Snape's robes on fire with a general fire spell during the Quidditch match, not specifically 'bluebell flames.' This appears to be a mischaracterization of the earlier event."
015.txt,"[coherence] Harry concludes that Snape sent the fake note to get Dumbledore away from Hogwarts, but there is no actual evidence in the text that Snape sent the note. Harry leaps to this conclusion without justification. The narrative later reveals that it was actually Quirrell/Voldemort behind the plot, not Snape, making Harry's certainty here a false deduction that goes unchallenged by the narrative structure.","[cross_chapter] In Chapter 11, Hermione set Snape's robes on fire to break what they thought was a curse on Harry's broom. However, the text here claims she used 'bluebell flames' specifically on Snape, which contradicts the earlier description where she used a general fire-making spell that happened to catch Snape's robes as she was trying to reach him."
015.txt,"[coherence] When Hermione solves Snape's potion riddle, she identifies that the smallest bottle will get them through the black fire, and there is 'hardly one swallow' in it. Yet Harry drinks it and is able to walk through the flames. The narrative states there was only enough for one person, which works for Harry going forward, but Hermione then needs to go back through purple flames using a different bottle. However, the original plan was for Ron to be retrieved, meaning Hermione would need to return through the purple flames, then somehow get Ron and come back through the black flames again—requiring more potion than exists. The logistics of the return trip for two people with only one dose of each potion are not properly worked out.","[coherence] Harry claims Snape 'nearly had his leg ripped off once' by Fluffy, but there is no evidence in previous chapters that Snape ever encountered Fluffy directly or was injured by him. Snape's leg injury in Chapter 11 was implied to be from Fluffy based on Hagrid's comment, but it was never confirmed, and certainly Snape never 'nearly had his leg ripped off'—he had a limp and injured leg of mysterious origin."
015.txt,"[cross_chapter] In Chapter 11, Hermione set Snape's robes on fire during the Quidditch match to stop him from jinxing Harry's broom. In this chapter, when listing the professors' protections, Hermione says 'that leaves Quirrell's spell, and Snape's'—but she never learned that Snape created any protection. She only knew about his injured leg and his conversation with Quirrell. The narrative treats Snape's protection as established knowledge for the trio, but they never actually discovered what Snape's obstacle was. This appears to be a narrative assumption that leaks information the characters shouldn't have.","[coherence] Harry states 'Firenze might back us up if Bane doesn't stop him' when considering who could support their story to Dumbledore. However, Firenze only told Harry about unicorn blood and Voldemort; Firenze has no knowledge about Hagrid revealing Fluffy's secret or the trapdoor situation. Firenze couldn't 'back them up' on this specific claim."
015.txt,,"[cross_chapter] Hermione identifies the obstacles as 'Sprout's, that was the Devil's Snare; Flitwick must've put charms on the keys; McGonagall transfigured the chessmen to make them alive; that leaves Quirrell's spell, and Snape's.' However, she lists five creators for what turns out to be six obstacles (Devil's Snare, flying keys, chess, troll, potions riddle, mirror). She completely omits the troll, and incorrectly assigns the troll room to no one. Also, she assumes Quirrell and Snape each have one obstacle, but the troll is later revealed to be Quirrell's, meaning her count is wrong."
