Chapter,Category,Description
002.txt,cross_chapter,"Mrs. Figg's broken leg is attributed to different causes. In Chapter 2 summary, it states 'Mrs. Figg breaks her leg' as the reason Harry goes to the zoo, but in this chapter, Harry is left at Mrs. Figg's because she broke her leg 'tripping over one of her cats.' While not a direct contradiction, the Chapter 2 summary implies she broke her leg independently, and this chapter reveals a specific cause. More significantly, the timeline is confused: in Chapter 2, Mrs. Figg breaking her leg is what forces Harry to go to the zoo on Dudley's birthday. But in this chapter, Harry is left at Mrs. Figg's because of her broken leg, which happened after the zoo trip (since the zoo trip already occurred and Harry was punished). The broken leg appears to be treated as a single event but is placed at two different points in time with different consequences."
002.txt,coherence,"Uncle Vernon claims to have burned Harry's first letter, but later when multiple letters arrive, he burns them too. However, the narrative never shows him burning the first letter—he only says he did. This is a minor inconsistency in that he claims an action was taken that the reader never witnesses, and his behavior with subsequent letters (burning them openly) differs from his claimed handling of the first letter. More significantly, when exactly did he burn it? He takes it from Harry in the kitchen, reacts with horror, and later that evening visits Harry in the cupboard to tell him it was burned. But between these points, there's no scene of him burning it, and given his panic, it's odd he'd take time to burn it rather than simply hide it."
002.txt,temporal,"The timeline of Harry's punishment and the school holidays is inconsistent. The chapter opens stating that by the time Harry was let out of his cupboard, summer holidays had started. However, later we learn that Dudley's birthday (when the zoo trip happened) was in June, before summer holidays. The narrative says 'The escape of the Brazilian boa constrictor earned Harry his longest-ever punishment. By the time he was allowed out of his cupboard again, the summer holidays had started.' But then 'One day in July' Aunt Petunia takes Dudley for his uniform. If Harry was in his cupboard until summer holidays started, and summer holidays typically start in late July in British schools, the timeline is compressed oddly. More critically, the narrative states Dudley had 'already broken his new video camera, crashed his remote control airplane, and... knocked down old Mrs. Figg' by the time summer holidays started—yet Mrs. Figg's broken leg is what happens 'one day in July' when Harry is left with her. This creates a temporal impossibility: Mrs. Figg is said to have been knocked down before summer holidays, but her broken leg happens in July."
007.txt,coherence,"Harry reaches for books and quill on his trunk in the dormitory during Potions class, but he is in the dungeon classroom, not the dormitory. His trunk and supplies should be with him in class or this implies an impossible action."
007.txt,cross_chapter,"The newspaper article states the Gringotts break-in was on '31 July' and that the vault 'had in fact been emptied the same day.' However, in Chapter 5, Hagrid retrieved the package from vault 713 on Harry's birthday (July 31st). The article says the vault was emptied 'earlier that same day' (July 31st), but Hagrid and Harry were at Gringotts during the day on July 31st. This creates a contradiction about when the vault was actually emptied relative to the break-in attempt."
007.txt,cross_chapter,"Hagrid says 'I spent half me life chasin' yer twin brothers away from the forest,' but earlier in Chapter 5, Hagrid didn't seem to know who Ron was when they first met. Additionally, the twins' names are Fred and George, but Hagrid doesn't use their names here, which is minor but the recognition of Ron as 'another Weasley' with specific knowledge of the twins seems slightly inconsistent with their first meeting."
007.txt,coherence,"The text contains a clear repetition/duplication of a sentence fragment: 'like Professor McGonagall, Snape had y caught every word — like Professor McGonagall, Snape had' which appears to be a copy-editing error where the text was accidentally repeated with a stray 'y' character."
026.txt,cross_chapter,"In Chapter 19, Dobby intercepted all of Harry's letters from his friends, preventing any communication. However, in this chapter, Ron says 'I never thought I'd see the day when you'd be persuading us to break rules,' implying ongoing friendship and shared experiences at school that would require regular interaction. More significantly, the previous chapter summaries show Harry has been at Hogwarts for weeks with Ron and Hermione, yet the narrative treats their friendship as continuous without addressing the letter interception from summer. Additionally, Dobby's punishment for letting his master's dinner burn suggests he still serves the Malfoys, but this creates a timeline issue with when Dobby could have visited Harry at Privet Drive versus serving at Malfoy Manor."
026.txt,coherence,"The chapter states that 'The door of the hospital wing burst open at that moment' when the Gryffindor team arrives, and later 'Next moment, Dumbledore was backing into the dormitory.' However, the hospital wing is repeatedly referred to as having beds with curtains (like a hospital ward), not as a 'dormitory' where students sleep regularly. This is inconsistent terminology—Dumbledore and McGonagall bring Colin to a bed in the hospital wing, not a student dormitory. The word 'dormitory' appears to be an error for 'hospital wing' or 'ward.'"
035.txt,coherence,"The Pocket Sneakoscope is described as standing still and balanced on its point, yet simultaneously flashing red light and making a soft insisting sound. If it's standing still, it shouldn't be lighting up and spinning as described in its function (which happens when someone untrustworthy is around). More critically, the description contradicts itself: it 'stood quite still' yet is 'flashing little rays of red light accompanied by a soft but insisting sound' — if it's flashing and making sound, it's not standing still in the sense of being inactive. However, the real inconsistency is that Ron's note said Bill thought it was unreliable because it kept lighting up at dinner due to Fred and George's prank with beetles, implying it lights up/spins when triggered. But Harry's observation that it 'stood quite still' while simultaneously 'flashing little rays of red light' creates a physical contradiction: something flashing light is not 'quite still' in terms of activity, and more importantly, if it's actively flashing and making sound, Harry should be concerned about untrustworthy people nearby rather than looking at it 'happily.' The description seems to accidentally conflate the Sneakoscope's inactive and active states."
049.txt,cross_chapter,"Hermione slaps Malfoy with her hand, but then immediately pulls out her wand to threaten him. However, in the next paragraph she is described as swinging her hand back again as if to slap him a second time, with Ron trying to grab 'her hand' - but she had already pulled out her wand. The physical action is inconsistent between hand and wand."
049.txt,cross_chapter,"Hermione is described as having 'swung her bag over her shoulder' when leaving Divination class, but earlier in the same scene she was described as having 'cramming Unfogging the Future back into her bag' - yet she also had her Arithmancy book with her later when found asleep. The bag contents and which book she was carrying are inconsistent with her later being found with an Arithmancy book as a pillow."
049.txt,cross_chapter,"The chapter states 'The safety measures imposed on the students since Black's second break-in made it impossible for Harry, Ron and Hermione to go and visit Hagrid in the evenings.' However, earlier in this same chapter, Harry, Ron and Hermione are clearly visiting Hagrid during the day after Care of Magical Creatures class, not evening. The restriction is on evening visits, but the narrative treats this as preventing all visits."
049.txt,temporal,"Hermione is described as being 'right next to him when he had opened the door' to Flitwick's classroom, yet she somehow does not enter the classroom and instead goes to the common room to sleep. The narrative states Harry 'knew she had been right next to him' - if she was right next to him at the door, she would have had to physically turn around and leave, which Harry would have noticed. Her disappearance is unexplained and temporally inconsistent with Harry's observation."
025.txt,coherence,"Professor Binns incorrectly calls Seamus Finnigan 'O'Flaherty' and Parvati Patil 'Miss Pennyfeather'. These are wrong names for established characters. Seamus Finnigan was introduced in previous chapters as a Gryffindor student, and his surname is Finnigan, not O'Flaherty. Parvati Patil's surname is Patil, not Pennyfeather."
025.txt,coherence,Professor Binns again incorrectly calls Parvati Patil 'Miss Pennyfeather' instead of her actual name. This is a second instance of the same naming error in the same scene.
027.txt,coherence,"Harry's arm is described as 'reboned' and 'very stiff' at the start, but later Madam Pomfrey is still testing it and only then declares 'All in order.' If it was already reboned overnight, the examination sequence is confusing and redundant. More importantly, Harry feeds himself porridge 'left-handed' despite his right arm being the one that was broken (from the Quidditch match in the previous chapter), suggesting he should still be able to use his left hand normally, making the 'left-handed' description odd unless he's right-handed—but this still reads awkwardly as if he's compensating for a limitation that shouldn't exist for eating."
027.txt,coherence,"Hermione is described as having 'a clean record' and therefore being the best choice to steal from Snape's office. However, in the previous chapter (Chapter 27 summary), Hermione was directly involved in the Quidditch match incident where Harry's arm was broken and presumably was present when Lockhart removed his bones. More critically, in Chapter 25, all three (Harry, Ron, Hermione) attended Nick's deathday party and were present when Mrs. Norris was found petrified, with Filch accusing Harry specifically. Hermione has been involved in numerous rule-bending situations, making 'clean record' an overstatement, though not strictly an error. However, the bigger issue is that Hermione explicitly orchestrated the firework diversion and theft plan, yet claims she has a 'clean record' while Harry and Ron would be expelled—despite all three being equally involved in the plan's execution."
027.txt,coherence,"Harry uses 'one of Fred's Filibuster fireworks' that he pulls from his pocket, but there's no previous mention of him obtaining these fireworks from Fred. The narrative treats this as if the reader should know he has them, but no acquisition scene is described in this or previous chapter summaries. This is a missing setup/cause for having the fireworks."
027.txt,cross_chapter,"In Chapter 25 (summary), Harry hears the disembodied voice and leads Ron and Hermione to find Mrs. Norris petrified. The summary states 'Harry hears a disembodied murderous voice that only he can perceive.' However, in this chapter, when Harry speaks Parseltongue to the snake, Ron says 'I heard you speaking Parseltongue' and describes it as creepy. This establishes Ron can hear the snake-language sounds. But in Chapter 25, Ron was with Harry when he heard the voice, and the summary says 'only he can perceive' it—yet Ron was present and apparently didn't hear it, or if he did, didn't react. The inconsistency is that Ron can hear Parseltongue as strange sounds in this chapter, but in Chapter 25, Harry's ability to hear the voice was treated as unique with no indication Ron heard anything unusual."
027.txt,coherence,"After the dueling club, Harry thinks 'He'd see Justin the next day in Herbology and he'd explain that he'd been calling the snake off, not egging it on.' However, the next morning, 'the snow that had begun in the night had turned into a blizzard so thick that the last Herbology lesson of the term was canceled.' This creates a contradiction: Harry specifically thinks he'll see Justin in Herbology to explain, but then the narrative states Herbology was canceled. While this could be read as Harry's plan being thwarted, the narrative structure presents it as Harry's intention without noting the cancellation until after, creating a minor coherence issue where Harry's stated plan becomes impossible without his knowledge. More significantly, Harry goes looking for Justin specifically because Herbology was canceled—yet he had no way of knowing it would be canceled when he made the plan the night before. The timing doesn't work: he thinks he'll see Justin 'the next day in Herbology' at night after the dueling club, but then the next morning Herbology is already canceled before he could have expected to attend it."
020.txt,cross_chapter,"In Chapter 5, Harry visited Diagon Alley with Hagrid and used the Leaky Cauldron entrance, not the Underground. Mr. Weasley asks how Harry got to Diagon Alley last year, and Harry says 'I went on the Underground,' but this contradicts the established events of Chapter 5 where Hagrid took him via the Leaky Cauldron and they traveled together. Harry never used the Underground to get to Diagon Alley; he used it to get back to the Dursleys from Paddington station after parting with Hagrid."
014.txt,coherence,"Neville's stated motivation for telling McGonagall contradicts his established character and the actual events. Neville says he heard Draco saying something about Harry and 'couldn't stand there doing nothing' and wanted Harry to 'have the punishment you deserve.' This is inconsistent with Neville's loyal, well-meaning nature established in previous chapters—he previously tried to warn Harry and Hermione about Malfoy during the midnight duel incident, not get them punished. Furthermore, Neville was locked out of the common room and accompanied them to the duel; he had no opportunity to overhear Draco plotting and then independently find McGonagall. His actual motivation was to warn them, not betray them, making his quoted speech here incoherent with his character and the narrative logic."
014.txt,cross_chapter,"McGonagall states that four students were out of bed, but only three are actually present in her study: Harry, Hermione, and Neville. Malfoy is not present despite also being out of bed and involved in the dragon smuggling incident. While McGonagall mentions catching Malfoy with the 'cock-and-bull story about a dragon,' she does not include him in the punishment scene or count him among the students receiving detention, yet she says 'four students out of bed in one night.' This contradicts the actual composition of the scene and creates confusion about whether Malfoy was punished alongside the others."
014.txt,coherence,"The math for house points deduction is inconsistent. McGonagall first says 'fifty points will be taken from Gryffindor,' then clarifies 'Fifty points each.' Harry then calculates 'A hundred and fifty points lost.' However, if four students (Harry, Hermione, Neville, and presumably Malfoy) each lost fifty points, that would be 200 points total. If only three students lost fifty points each, that would be 150 points. The text is unclear whether Malfoy loses points for Slytherin or Gryffindor, and the final 'hundred and fifty points' figure only works for three students at fifty each, contradicting the 'four students out of bed' statement. The arithmetic and distribution of punishments is logically inconsistent."
